required_features,actual_mass_pct,total_features,target_mass_pct,efficiency,spectrum_type,experiment,component_name,component_index
357,50.07087675477207,131072,50,0.00272369384765625,mixture,experiment_1,,
506,60.01068183206609,131072,60,0.0038604736328125,mixture,experiment_1,,
717,70.01919292280651,131072,70,0.00547027587890625,mixture,experiment_1,,
1049,80.01768104390827,131072,80,0.00800323486328125,mixture,experiment_1,,
1332,85.01180643025954,131072,85,0.010162353515625,mixture,experiment_1,,
1930,90.00305213761206,131072,90,0.0147247314453125,mixture,experiment_1,,
3780,95.00029859564279,131072,95,0.028839111328125,mixture,experiment_1,,
14659,99.00005580767389,131072,99,0.11183929443359375,mixture,experiment_1,,
237,50.02999822646147,131072,50,0.00180816650390625,component,experiment_1,Pinene,0.0
441,60.01640525820253,131072,60,0.00336456298828125,component,experiment_1,Pinene,0.0
738,70.01636931210558,131072,70,0.0056304931640625,component,experiment_1,Pinene,0.0
1182,80.00556552518563,131072,80,0.0090179443359375,component,experiment_1,Pinene,0.0
1546,85.00808878572222,131072,85,0.0117950439453125,component,experiment_1,Pinene,0.0
2341,90.00092164217406,131072,90,0.01786041259765625,component,experiment_1,Pinene,0.0
5358,95.00063580612405,131072,95,0.0408782958984375,component,experiment_1,Pinene,0.0
16367,99.00000935230668,131072,99,0.12487030029296875,component,experiment_1,Pinene,0.0
247,50.021403259888054,131072,50,0.00188446044921875,component,experiment_1,Benzyl benzoate,1.0
345,60.01601066324724,131072,60,0.00263214111328125,component,experiment_1,Benzyl benzoate,1.0
477,70.06264307961966,131072,70,0.00363922119140625,component,experiment_1,Benzyl benzoate,1.0
668,80.00188177012029,131072,80,0.005096435546875,component,experiment_1,Benzyl benzoate,1.0
807,85.03030580926277,131072,85,0.00615692138671875,component,experiment_1,Benzyl benzoate,1.0
1002,90.01374288119942,131072,90,0.0076446533203125,component,experiment_1,Benzyl benzoate,1.0
1365,95.00206402460938,131072,95,0.01041412353515625,component,experiment_1,Benzyl benzoate,1.0
4929,99.00015639564886,131072,99,0.03760528564453125,component,experiment_1,Benzyl benzoate,1.0
543,50.02032536392226,55903,50,0.009713253313775648,mixture,experiment_2,,
965,60.00525608184031,55903,60,0.017262043181940145,mixture,experiment_2,,
1610,70.01037049780092,55903,70,0.028799885515983042,mixture,experiment_2,,
2562,80.00205558562115,55903,80,0.04582938303847736,mixture,experiment_2,,
3251,85.00254239832647,55903,85,0.05815430298910613,mixture,experiment_2,,
4267,90.00026008068403,55903,90,0.07632864068117991,mixture,experiment_2,,
6587,95.00083655989636,55903,95,0.11782909682843497,mixture,experiment_2,,
13997,99.00018909406434,55903,99,0.25038012271255566,mixture,experiment_2,,
235,50.05359755419174,55903,50,0.004203709997674544,component,experiment_2,Pinene,0.0
436,60.002019534387955,55903,60,0.007799223655260004,component,experiment_2,Pinene,0.0
731,70.02668954016484,55903,70,0.013076221311915283,component,experiment_2,Pinene,0.0
1169,80.01330826966027,55903,80,0.020911221222474644,component,experiment_2,Pinene,0.0
1522,85.0100261064311,55903,85,0.0272257302828113,component,experiment_2,Pinene,0.0
2270,90.00180168964755,55903,90,0.04060604976477112,component,experiment_2,Pinene,0.0
5016,95.0000849593703,55903,95,0.0897268482907894,component,experiment_2,Pinene,0.0
14592,99.00017256180833,55903,99,0.26102355866411464,component,experiment_2,Pinene,0.0
407,50.020748259431635,55903,50,0.007280467953419315,component,experiment_2,Limonene,1.0
748,60.003366866898645,55903,60,0.013380319481959823,component,experiment_2,Limonene,1.0
1190,70.00850450188408,55903,70,0.021286871903117902,component,experiment_2,Limonene,1.0
1788,80.00693929510734,55903,80,0.03198397223762589,component,experiment_2,Limonene,1.0
2165,85.00864405559766,55903,85,0.038727796361554837,component,experiment_2,Limonene,1.0
2647,90.0010796810504,55903,90,0.04734987388870007,component,experiment_2,Limonene,1.0
3625,95.00253498452673,55903,95,0.06484446273008604,component,experiment_2,Limonene,1.0
10750,99.0001483827804,55903,99,0.19229737223404827,component,experiment_2,Limonene,1.0
459,50.04331379513312,70340,50,0.006525447824850725,mixture,experiment_6,,
679,60.00456749567778,70340,60,0.009653113448962183,mixture,experiment_6,,
1031,70.02230818692252,70340,70,0.014657378447540517,mixture,experiment_6,,
1595,80.01246426690146,70340,80,0.022675575774808075,mixture,experiment_6,,
2009,85.00124178141436,70340,85,0.028561273812908728,mixture,experiment_6,,
2644,90.00054887787083,70340,90,0.03758885413704862,mixture,experiment_6,,
4483,95.00121309994857,70340,95,0.06373329542223485,mixture,experiment_6,,
16162,99.00002964938032,70340,99,0.22976969007676998,mixture,experiment_6,,
235,50.0111573585173,70340,50,0.003340915553028149,component,experiment_6,Pinene,0.0
438,60.03000583484657,70340,60,0.006226897924367358,component,experiment_6,Pinene,0.0
733,70.02540034995465,70340,70,0.010420813193062269,component,experiment_6,Pinene,0.0
1172,80.00028720401453,70340,80,0.01666192777935741,component,experiment_6,Pinene,0.0
1528,85.00280710208773,70340,85,0.021723059425646857,component,experiment_6,Pinene,0.0
2289,90.00059482136827,70340,90,0.03254193915268695,component,experiment_6,Pinene,0.0
5108,95.00049767588736,70340,95,0.07261870912709696,component,experiment_6,Pinene,0.0
15034,99.00000991797013,70340,99,0.21373329542223485,component,experiment_6,Pinene,0.0
246,50.02374855202035,70340,50,0.003497298834233722,component,experiment_6,Benzyl benzoate,1.0
344,60.06726954322974,70340,60,0.004890531703156099,component,experiment_6,Benzyl benzoate,1.0
474,70.03305347207991,70340,70,0.006738697753767416,component,experiment_6,Benzyl benzoate,1.0
664,80.0208397836084,70340,80,0.009439863520045493,component,experiment_6,Benzyl benzoate,1.0
800,85.01393933291315,70340,85,0.011373329542223486,component,experiment_6,Benzyl benzoate,1.0
992,90.0156896004863,70340,90,0.014102928632357122,component,experiment_6,Benzyl benzoate,1.0
1339,95.00629109862255,70340,95,0.01903611032129656,component,experiment_6,Benzyl benzoate,1.0
4042,99.00015136917895,70340,99,0.05746374751208416,component,experiment_6,Benzyl benzoate,1.0
433,50.00630847645387,131072,50,0.00330352783203125,mixture,experiment_7,,
596,60.02428367304695,131072,60,0.004547119140625,mixture,experiment_7,,
810,70.00521966455527,131072,70,0.0061798095703125,mixture,experiment_7,,
1121,80.02149882629558,131072,80,0.00855255126953125,mixture,experiment_7,,
1368,85.01417100187375,131072,85,0.01043701171875,mixture,experiment_7,,
1950,90.0017054229945,131072,90,0.0148773193359375,mixture,experiment_7,,
5290,95.00003326279848,131072,95,0.0403594970703125,mixture,experiment_7,,
20538,99.00006237057923,131072,99,0.1566925048828125,mixture,experiment_7,,
247,50.021403259888054,131072,50,0.00188446044921875,component,experiment_7,Benzyl benzoate,0.0
345,60.01601066324724,131072,60,0.00263214111328125,component,experiment_7,Benzyl benzoate,0.0
477,70.06264307961966,131072,70,0.00363922119140625,component,experiment_7,Benzyl benzoate,0.0
668,80.00188177012029,131072,80,0.005096435546875,component,experiment_7,Benzyl benzoate,0.0
807,85.03030580926277,131072,85,0.00615692138671875,component,experiment_7,Benzyl benzoate,0.0
1002,90.01374288119942,131072,90,0.0076446533203125,component,experiment_7,Benzyl benzoate,0.0
1365,95.00206402460938,131072,95,0.01041412353515625,component,experiment_7,Benzyl benzoate,0.0
4929,99.00015639564886,131072,99,0.03760528564453125,component,experiment_7,Benzyl benzoate,0.0
107,50.13482557684538,131072,50,0.00081634521484375,component,experiment_7,m Anisaldehyde,1.0
168,60.03117436150882,131072,60,0.00128173828125,component,experiment_7,m Anisaldehyde,1.0
257,70.05096149146817,131072,70,0.00196075439453125,component,experiment_7,m Anisaldehyde,1.0
409,80.05150220067776,131072,80,0.00312042236328125,component,experiment_7,m Anisaldehyde,1.0
527,85.02659655625338,131072,85,0.00402069091796875,component,experiment_7,m Anisaldehyde,1.0
774,90.0009397147933,131072,90,0.0059051513671875,component,experiment_7,m Anisaldehyde,1.0
2063,95.00063630186571,131072,95,0.01573944091796875,component,experiment_7,m Anisaldehyde,1.0
10085,99.00002084885878,131072,99,0.07694244384765625,component,experiment_7,m Anisaldehyde,1.0
639,50.03317892323207,139577,50,0.004578118171331953,mixture,experiment_8,,
957,60.02270440607486,139577,60,0.006856430500727197,mixture,experiment_8,,
1406,70.01445617555143,139577,70,0.010073292877766394,mixture,experiment_8,,
2034,80.0125918597545,139577,80,0.014572601503112978,mixture,experiment_8,,
2470,85.00740267543729,139577,85,0.01769632532580583,mixture,experiment_8,,
3063,90.0059580943006,139577,90,0.021944876304835322,mixture,experiment_8,,
4185,95.00015422038733,139577,95,0.02998344999534307,mixture,experiment_8,,
11672,99.00007690601912,139577,99,0.08362409279465814,mixture,experiment_8,,
489,50.00783324032601,139577,50,0.0035034425442587247,component,experiment_8,Benzyl benzoate,0.0
683,60.02887916903005,139577,60,0.004893356355273434,component,experiment_8,Benzyl benzoate,0.0
941,70.02368110151146,139577,70,0.0067417984338393865,component,experiment_8,Benzyl benzoate,0.0
1316,80.01637627846391,139577,80,0.009428487501522457,component,experiment_8,Benzyl benzoate,0.0
1582,85.00056008816757,139577,85,0.011334245613532315,component,experiment_8,Benzyl benzoate,0.0
1956,90.0018366344667,139577,90,0.014013770177034899,component,experiment_8,Benzyl benzoate,0.0
2611,95.00119026690726,139577,95,0.01870652041525466,component,experiment_8,Benzyl benzoate,0.0
7008,99.00001914970056,139577,99,0.05020884529686123,component,experiment_8,Benzyl benzoate,0.0
209,50.033791297462535,139577,50,0.0014973813737220315,component,experiment_8,m Anisaldehyde,1.0
330,60.004703729255915,139577,60,0.0023642863795611023,component,experiment_8,m Anisaldehyde,1.0
503,70.04255566502879,139577,70,0.003603745602785559,component,experiment_8,m Anisaldehyde,1.0
796,80.02553454710515,139577,80,0.005702945327668599,component,experiment_8,m Anisaldehyde,1.0
1019,85.00921893744828,139577,85,0.007300629759917465,component,experiment_8,m Anisaldehyde,1.0
1448,90.00075114218298,139577,90,0.010374202053346899,component,experiment_8,m Anisaldehyde,1.0
3435,95.00053942968135,139577,95,0.02461007185997693,component,experiment_8,m Anisaldehyde,1.0
14907,99.00007815263372,139577,99,0.10680126381853744,component,experiment_8,m Anisaldehyde,1.0
